DOI,Journal_Book,Title,Year,Authors,Experimental_Study,N,Topic,Topic_medium,Topic_Family,Stimulus,Stimulus_medium,Stimulus_Family,Framing,Output,Output_medium,Output_Family,Method,Emotion,Emotion_Coarse,Emotion_Role,Key_Findings
https://doi.org/10.1177/1075547017697980,Science Communication,Catalyzing Public Engagement With Climate Change Through Informal Science Learning Centers,2017,Geiger et al.,Yes,7285,Climate_Change,Climate,Environment,Presentation,In-person,Other,None,"Understanding,Hopefulness,Intention_to_act","Thinking,Feeling,Doing","Epistemic,Affective,Behavioral",Visitors' questionnaire,Hope,Joy,Output,(1) Training presenters increase effectiveness of communication
https://doi.org/10.1177/10755470211027235,Science Communication,Using a News Article to Convey Climate Science Consensus Information,2021,Rhode et al.,Yes,1048,Climate_Change,Climate,Environment,News_Article,Articles,Text,None,Perception_of_scientific_consensus,Judgment,Epistemic,Perception of consensus questionnaire,None,None,None,"(1) Scientific consensus statement increase perception of scientific consensus,but does not affect other Climate Change attitudes"
https://doi.org/10.1177/1075547010379579,Science Communication,Aesthetics and Astronomy: Studying the Public’s Perception and Understanding of Imagery From Space,2010,Smith et al.,Yes,8866,Space,Natural_Science,Other,Images,Pictures,Image,None,Understanding,Thinking,Epistemic,Science understanding questionnaire,None,None,None,(1) non-experts are more likely to focus on aesthetic or emotional values of images
https://doi.org/10.1177/1075547007312309,Science Communication,"After the Flood: Anger,Attribution,and the Seeking of Information",2008,Griffin et al.,Yes,401,Flooding,Disaster_Events,Environment,"TV,News_Article,Radio","Video_and_TV,Articles,Sound","Image,Text,Sound",None,"Information_seeking,Information_processing,Perceived_risk","Doing,Thinking,Judgment","Behavioral,Epistemic,Epistemic",Questionnaire,"Anger,Trust","Anger,Love",Input,"(1) Anger is associated with information seeking behaviour and processing,as well as greater risk judgment,a greater sense of personal efficacy,lower trust"
https://doi.org/10.1177/1075547010366400,Science Communication,One or Many? The Influence of Episodic and Thematic Climate Change Frames on Policy Preferences and Individual Behavior Change,2011,Hart,Yes,120,Climate_Change,Climate,Environment,News_Article,Articles,Text,"episodic,thematic","Policy_support,Intention_to_act","supporting,Doing","Attitudinal,Behavioral",Questionnaire,None,None,N/A,"(1) exposure to thematic frames associated with more support for policies than exposure to episodic frame
(2) no framing effect on disposition for individual behavior change"
https://doi.org/10.1177/1075547019870811,Science Communication,The Effects of Uncertainty Frames in Three Science Communication Topics,2019,Gustafson & Rice,Yes,2247,"Climate_Change,GMO,Machinery_hazards","Climate,Techniques,Machines_and_Tools","Environment,Technology,Technology",News_Article,Articles,Text,Deficient/technical/scientific/consensus,"Perceived_certainty,Perceived_credibility,Intention_to_act","Judgment,Judgment,Doing","Epistemic,Epistemic,Behavioral","Questionnaire,credibility scale",None,None,N/A,(1) Portraying scientific findings in uncertainty frames does not have significant effects
https://doi.org/10.1177/1075547019837623,Science Communication,"Should Scientists Talk About GMOs Nicely? Exploring the Effects of Communication Styles,Source Expertise,and Preexisting Attitude",2019,Yuan et al.,Yes,416,GMO,Techniques,Technology,Blog_Article,Online_Text,Text,"agressive/nonagressive,scientists/non-scientist","Perceived_likability,Perceived_message_quality","Liking,Liking","Attitudinal,Attitudinal",Questionnaire,None,None,N/A,(1) Writer likability and perceived expertise was significant (?)
https://doi.org/10.1177/1075547017748947,Science Communication,"Testing Links Among Uncertainty,Affect,and Attitude Toward a Health Behavior",2018,Fung et al.,Yes,334,"General_Environment,General_Health","Other_Environment,Other_Health","Environment,Health",None,Other_Other,Other,None,"Information_seeking,Information_processing,Perceived_risk,Intention_to_act","Doing,Thinking,Judgment,Doing","Behavioral,Epistemic,Epistemic,Behavioral",Questionnaire,"Worry,Anger","Fear,Anger",Input,(1) worry and anger influence uncertainty judgments and attitudes toward fish avoidance and information insufficiency
https://doi.org/10.1177/1075547019846124,Science Communication,Viruses Going Viral: Impact of Fear-Arousing Sensationalist Social Media Messages on User Engagement,2019,ali et al.,Yes,786,Virus,Disease,Health,Facebook_postss,Online_Text,Text,None,Engagement,Doing,Behavioral,"Commenting,clicking reaction button,shareing post,efficacy measure",Fear,Fear,Input,(1) fear arousal increase user engagement
https://doi.org/10.1177/1075547012441873,Science Communication,"What,Me Worry? The Role of Affect in Information Seeking and Avoidance",2012,Yang & Kahlor,Yes,736,Climate_Change,Climate,Environment,Questionnaire,Other_Text,Text,None,Information_seeking,Doing,Behavioral,risk perception questionnaire,"Worry,Anxiety,Fear,Hope,Happiness,Excitedness","Fear,Fear,Fear,Joy,Joy,Joy",Input,(1) negative affect drives information seeking
https://doi.org/10.1177/1075547020910749,Science Communication,Laughing With Science: The Influence of Audience Approval on Engagement,2020,Cacciatore et al.,Yes,217,General_Science,Natural_Science,Other,Video_clip,Video_and_TV,Image,laughter/no laughter,"Epistemic_processes,Affective_response","Thinking,Feeling","Epistemic,Affective",Questionnaire,Mirth,Joy,"Input,Output",(1) Affective response is positively linked to engagement
https://doi.org/10.1177/1075547018808025,Science Communication,From White Lab Coats and Crazy Hair to Actual Scientists: Exploring the Impact of Researcher Interaction and Performing Arts on Students’ Perceptions and Motivation for Science,2018,Mallén et al.,Yes,135,STEM,Natural_Science,Other,In-person_Stand-up_and_Improv,In-person,Other,Type of framing,"Perception_of_scientists,Interest_in_science","Liking,Liking","Attitudinal,Attitudinal","free-listing,pre- and post-survey",None,None,N/A,"(1) Drama based technieques increase interest in scientific careers
(2) interaction with scientists reduce stereotyped perception"
https://doi.org/10.1177/1075547020974384,Science Communication,"Countering the “Harmless E-Cigarette” Myth: The Interplay of Message Format,Message Sidedness,and Prior Experience With E-Cigarette Use in Misinformation Correction",2020,Wang & Huang,Yes,294,Cigarettes,Consumables,Health,Instagram,Online_Pictures,Image,None,Understanding,Thinking,Epistemic,Questionnaire,None,None,N/A,(1) stories more emotionally involving than nonstories but does not reduce counterarguing when used as correctives
https://doi.org/10.1177/10755470211008192,Science Communication,How Effective Are Concrete and Abstract Climate Change Images? The Moderating Role of Construal Level in Climate Change Visual Communication,2021,Duan et al.,Yes,448,Climate_Change,Climate,Environment,Images_of_Text_Color_IllustrativeScale,Pictures,Image,abstract/concrete,Intention_to_act,Doing,Behavioral,Questionnaire,Unspecified,None,Input,(1) concrete images does not lead to  increased level of concern
https://doi.org/10.1177/1075547009335345,Science Communication,Tacit Understandings of Health Literacy: Interview and Survey Research With Health Journalists,2009,Hinnant et al.,Yes,396,General_Health,Other_Health,Health,Interview_Questions,Other_Text,Text,None,Understanding,Thinking,Epistemic,"Interview,Questionnaire",None,None,N/A,None
https://doi.org/10.1177/1075547020947743,Science Communication,To Eat or Not to Eat: Framing of GMOs in American Media and Its Effects on Attitudes and Behaviors,2020,Pjesivac et al.,Yes,182,GMO,Techniques,Technology,News_Sample,Articles,Text,risk/opportunity,"Intention_to_act,Observed_behavior","Doing,Doing","Behavioral,Behavioral","Questionnaire,observed behavior in choice of apple","Fear,Fear,Hope","Fear,Fear,Joy",Input,"(1) Framng affect attitudes and can change them. 
(2) affect behavioral intentions but not actual behavior"
https://doi.org/10.1177/1075547018822081,Science Communication,The Effects of the “War on Science” Frame on Scientists’ Credibility,2019,Hardy et al.,Yes,1024,General_Science,Natural_Science,Other,Blog_Article,Online_Text,Text,war on science/challenge for science/neglect of science,Perceived_credibility,Judgment,Epistemic,Questionnaire,Unspecified,None,Input,(1) War on science frame makes conservatives report lower agreement with scientist credibility index
https://doi.org/10.1177/10755470211022024,Science Communication,Debunking Misinformation About Genetically Modified Food Safety on Social Media: Can Heuristic Cues Mitigate Biased Assimilation?,2021,Wang & Huang,Yes,330,GMO,Techniques,Technology,Facebook_posts,Online_Text,Text,None,"Understanding,Perceived_credibility","Thinking,Judgment","Epistemic,Epistemic",Questionnaire,None,None,N/A,(1) Corrective information can counteract influence of misinformation
https://doi.org/10.1177/10755470211031246,Science Communication,Mother Nature’s Fury: Antagonist Metaphors for Natural Disasters Increase Forecasts of Their Severity and Encourage Evacuation,2021,Hauser et al.,Yes,1936,Natural_disasters,Disaster_Events,Environment,Vignette,Other_Text,Text,antagonist/literal,Perceived_risk,Judgment,Epistemic,Questionnaire,None,None,N/A,"(1) antagonist framed increase perception of severity
(2) Metaphors are effective for risk communication"
https://doi.org/10.1177/1075547005285334,Science Communication,“Social Change” and “Status Quo” Framing Effects on Risk Perception: An Exploratory Experiment,2006,Durfee,Yes,111,General_Environment,Other_Environment,Environment,News_Article,Articles,Text,Social change/status quo,Perceived_risk,Judgment,Epistemic,risk perception questionnaire,None,None,N/A,(1) social change framing increase rissk awareness
https://doi.org/10.1177/1075547016673200,Science Communication,Information Insufficiency and Information Seeking: An Experiment,2016,Hwang & Jeong,Yes,307,General_Health,Other_Health,Health,Vignette,Other_Text,Text,low/high distance,Information_seeking,Doing,Behavioral,information-seeking questionnaire,None,None,N/A,(1) high suffiency threshold result in greater information seeking intention
https://doi.org/10.1177/1075547019863154,Science Communication,The Impact of Message Source on the Effectiveness of Communications About Climate Change,2019,Bolsen et al.,Yes,1850,Climate_Change,Climate,Environment,General_Article,Articles,Text,threat to environment/USA,Perceived_threat,Belief,Epistemic,threat perception questionnaire,Trust,Love,N/A,(1) Messages attributed to military leaders or republican party leaders can enhance impact of appeal.
https://doi.org/10.1177/1075547009358625,Science Communication,Early Exposures to Ecogenomics: Effects of Priming and Web Site Interactivity Among Adolescents,2010,Bos et al.,Yes,273,Emergent_Technologies,Techniques,Technology,Webpage,Online_Text,Text,None,"Information_processing,Attitude_change","Thinking,Liking","Epistemic,Attitudinal","Attitude questionnaire,observed time invested in information-processing,cognitive load questionnaire",None,None,N/A,(1) Priming does not affect attitude development.
https://doi.org/10.1177/1075547020914610,Science Communication,Increasing Information Seeking About Antibiotic Risks: Testing a Clinical Intervention Message Using the Risk Information Seeking and Processing Model,2020,Brinker et al.,Yes,400,Antibiotics,Disease,Health,Text_Message,Other_Text,Text,None,"Information_seeking,Perceived_risk","Doing,Judgment","Behavioral,Epistemic",risk perception Questionnaire,None,None,N/A,(1) risk information messages increase perception of information insufficiency and information seeking
https://doi.org/10.1177/1075547020942512,Science Communication,Predicting Intentions to Engage With Scientific Messages on Twitter: The Roles of Mirth and Need for Humor,2020,Yeo et al.,Yes,1530,General_Science,Natural_Science,Other,Twitter,Online_Text,Text,None,"Intention_to_act,Attitude_change","Doing,Liking","Behavioral,Attitudinal",Questionnaire,"Mirth,Mirth","Joy,Joy",Input,(1) humor mediates engagement intentions
https://doi.org/10.1177/1075547015585006,Science Communication,“Knowledge Is Power”: A Mixed-Methods Study Exploring Adult Audience Preferences for Engagement and Learning Formats Over 3 Years of a Health Science Festival,2015,Rogers et al.,Yes,661,General_Health,Other_Health,Health,Lecture_Discussion_LabExperiment,In-person,Other,None,Engagement,Doing,Behavioral,Open question self-report,None,None,N/A,(1) lectures work better than dialogue formats
https://doi.org/10.1177/1075547020951794,Science Communication,"The Power of Being Transported: Efficacy Beliefs,Risk Perceptions,and Political Affiliation in the Context of Climate Change",2020,Bieniek-Tabasco et al.,Yes,391,Climate_Change,Climate,Environment,Video_clip,Video_and_TV,Image,transport high/low,"Perceived_risk,Efficacy_beliefs","Judgment,Belief","Epistemic,Epistemic","Risk perception questionnaire,efficacy belief questionnaire",None,None,N/A,"(1) transportation affects efficacy beliefs and risk perception
(1) Political belief affects efficacy beliefs and rsk perceptions"
https://doi.org/10.1177/1075547020962100,Science Communication,"Learning From Science News via Interactive and Animated Data Visualizations: An Investigation Combining Eye Tracking,Online Survey,and Cued Retrospective Reporting",2020,Greussing et al.,Yes,45,General_Science,Natural_Science,Other,News_Article,Articles,Text,static/interactive/interactive+animated,"Attention,Recollection","Thinking,Thinking","Epistemic,Epistemic","eye tracking,information recall,involvement questionnaire",None,None,N/A,(1) interactivity and animation engage audience more strongly -- translates into highr learning
https://doi.org/10.1177/1075547009340338,Science Communication,Science Information in Fictional Movies: Effects of Context and Gender,2010,Barriga et al.,Yes,96,General_Science,Natural_Science,Other,Video_Clip,Video_and_TV,Image,Transport: High/none,Resistance_to_misinformation,Thinking,Epistemic,Questionnaire,None,None,N/A,(1) incorrect science is accepted as true from movies depend on gender of participant and the centrality of information in relation to the plot
https://doi.org/10.1177/1075547014555997,Science Communication,Putting Environmental Infographics Center Stage: The Role of Visuals at the Elaboration Likelihood Model’s Critical Point of Persuasion,2015,Lazard & Atkinson,Yes,168,General_Environment,Other_Environment,Environment,Webpage,Online_Text,Text,text/infographic,Information_processing,Thinking,Epistemic,Questionnaire,None,None,N/A,(1) visual content is important for persuasiveness of message
https://doi.org/10.1177/1075547020908598,Science Communication,Hedged Language and Partisan Media Influence Belief in Science Claims,2020,Butterfuss et al.,Yes,335,General_Science,Natural_Science,Other,Scientific_Claims,Other_Text,Text,correct/misinformation,Perceived_credibility,Judgment,Epistemic,Questionnaire,None,None,N/A,"(1) hedged language influence belief in information for individuals with certain epistemic profiles
(1) higher faith in instititutoin leads to lower belief in claims from scientific sources"
https://doi.org/10.1177/1075547018766556,Science Communication,Third-Person Perception of Science Narratives: The Case of Climate Change Denial,2018,Dahlstrom,Yes,428,Climate_Change,Climate,Environment,News_Article,Articles,Text,narrative/non-narrative,"Perceived_persuasiveness,Influence_of_message","Belief,Judgment","Epistemic,Epistemic",Questionnaire,None,None,N/A,"(1) Individuals are aware of influence of narratives and can resist the influence when they perceive the message to have negative influence
(2) otherwise they underestimate influence of narratives"
https://doi.org/10.1177/1075547007308599,Science Communication,Can a Personality Trait Predict Talk About Science?: Sensation Seeking as a Science Communication Targeting Variable,2007,Hwang & Southwell,Yes,667,Scientific_Topic,Humanities,Other,TV_news,Video_and_TV,Image,None,Engagement,Doing,Behavioral,Questionnaire,None,None,N/A,(1) Sensation seeking predicts talk about science
https://doi.org/10.1177/1075547015596367,Science Communication,Science Exemplars in the Eye of the Beholder: How Exposure to Online Science Information Affects Attitudes,2015,Knobloch-Westerwcik et al.,Yes,276,General_Science,Natural_Science,Other,General_Article,Articles,Text,exemplar/numeric,Attitude_change,Liking,Attitudinal,"observed exposure,attitude questionnaire",None,None,N/A,(1) Exemplar reading fosterede longer reading amongst high empathy individuals but less exposure among high-nmumeracy individuals
https://doi.org/10.1177/1075547016655357,Science Communication,The Impact of Climate Change–Related Imagery and Text on Public Opinion and Behavior Change,2016,Hart & Feldman,Yes,1575,Climate_Change,Climate,Environment,News_Article,Articles,Text,"image,text","Perceived_importance,Intention_to_act","Judgment,Doing","Epistemic,Behavioral",Questionnaire,None,None,N/A,"(1) Perceived efficacy and issue importance correlate with  change in behavior
(2) exposure to images does not negatively affect perceived efficacy or perceived importance"
https://doi.org/10.1177/107554700202400104,Science Communication,"How Involvement,Citation Style,and Funding Source Affect the Credibility of University Scientists",2002,Sprecker,Yes,77,None,None,None,News_Article,Articles,Text,"public/private,quote/paraphrase",Perceived_credibility,Judgment,Epistemic,credibility questionnaire,None,None,N/A,(1) funding source or citation style does not affect perceived credibility
https://doi.org/10.1177/1075547015574016,Science Communication,Environmental Science in the Media: Effects of Opposing Viewpoints on Risk and Uncertainty Perceptions,2015,Kortenkmap et al.,Yes,247,General_Environment,Other_Environment,Environment,News_Article,Articles,Text,None,Perceived_risk,Judgment,Epistemic,risk perception questionnaire,None,None,N/A,(1) reading discredited opposiing viewpoint influence risk and uncertainty perception similarly as reading balanced opposiing viewpooints
https://doi.org/10.1177/0963662520906797,Public Understanding of Science,Emotion and judgments of scientific research,2020,Drummond & Fishhoff,Yes,705,General_Health,Other_Health,Health,News_Article,Articles,Text,None,"Perceived_trust,Qualitative_judgment","trusting,Judgment","Attitudinal,Epistemic","scientific understanding questionnaire,judgment questionnaire,trust questionnaire,reasoning ability test","Fear,Anger,Disgust,Happiness,Sadness,Surprise,Trust","Fear,Anger,Anger,Joy,Sadness,Surprise,Love",Input,(1) disgust increse negative judgment of research and scientists.
https://doi.org/10.1177/0963662514544919,Public Understanding of Science,Audience responses to television news coverage of medical advances: The mediating role of audience emotions and identification,2014,Hong,Yes,99,General_Health,Other_Health,Health,TV_news,Video_and_TV,Image,human exemplar: yes/no,Perceived_quality,Liking,Attitudinal,Questionnaire,"Hope,Fear,Anger,Relief","Joy,Fear,Anger,Joy",Input,(1) news stories with human example intensify positive emotions
https://doi.org/10.1177/0963662519832200,Public Understanding of Science,Disgusting microbes: The effect of disgust on perceptions of risks related to modifying microbiomes,2019,Yeo et al.,Yes,1005,Microbes,Disease,Health,News_Article,Articles,Text,"digust/no disgust,human/no human",Perceived_risk,Judgment,Epistemic,Questionnaire,Disgust,Anger,Input,(1) disgust increase risk perception
https://doi.org/10.1177/0963662514533623,Public Understanding of Science,"Does a picture tell a thousand words? The uses of digitally produced,multimodal pictures for communicating information about Alzheimer’s disease",2015,Dobos et al.,Yes,206,General_Health,Other_Health,Health,Picture,Pictures,Image,None,Understanding,Thinking,Epistemic,Questionnaire,Anger,Anger,Input,"(1) pictures are useful for evoking emotions,rather than convey spicific messages"
https://doi.org/10.1177/09636625211020661,Public Understanding of Science,Fostering Climate Change consensus: The role of intimacy in group discussions,2021,van Swol et al.,Yes,329,Climate_Change,Climate,Environment,News_Article,Articles,Text,None,Opinion_change,supporting,Attitudinal,Questionnaire,None,None,N/A,(1) intimacy increases likelihood of reaching consensus and change of opinion
https://doi.org/10.1177/0963662515603271,Public Understanding of Science,Public perceptions of expert disagreement: Bias and incompetence or a complex and random world?,2017,Dieckmann et al.,Yes,1500,General_Science,Natural_Science,Other,"News_Article,TV_news","Articles,Video_and_TV","Text,Image",paper/online/television,Perception_of_expert_disputes,Judgment,Epistemic,"cognitive ability questiionnaire,self-report questionnaire",None,None,N/A,"(1) people with low education and low self-knowledge attribute expert disbutes to incompetence
(2) people with high self-report knowledge attribute dispute to ideological or financial reasons
(3) high education attribute disputes to natural factors such as complexity
"
https://doi.org/10.1177/0963662521989191,Public Understanding of Science,Call them COVIDiots: Exploring the effects of aggressive communication style and psychological distance in the communication of COVID-19,2021,Chu et al.,Yes,464,COVID,Disease,Health,Letter_from_Doctor,Other_Text,Text,"close/distant,neutral/agressive","Perceived_likability,Perceived_quality","Liking,Liking","Attitudinal,Attitudinal",Questionnaire,Aggression,Anger,Input,(1) agressive commuinication may generate positive outcome when dealing with public understanding
https://doi.org/10.1177/0963662511429412,Public Understanding of Science,Relationships among affective factors and preferred engagement in science-related activities,2012,Lin et al.,Yes,8375,General_Science,Natural_Science,Other,Natural_Variables,Natural_Variables,Other,None,Understanding,Thinking,Epistemic,Questionnaire,None,None,N/A,(1) development of science competency may not be the best way to ensure public engagement and undderstanding of science
https://doi.org/10.1177/0963662520942122,Public Understanding of Science,A review of the effects of uncertainty in public science communication,2020,Gustafson & Rice,Yes,48,Science_Communication,Humanities,Other,None,Other_Other,Other,None,Perceived_credibility,Judgment,Epistemic,Literature review,Uncertainty,Sadness,Input,(1) most credibility-reduction effects of uncertainty are from consensus uncertainty
https://doi.org/10.1177/0963662521991732,Public Understanding of Science,Stop avoiding the inevitable: The effects of anthropomorphism in science writing for non-experts,2021,McGellin et al.,Yes,174,General_Science,Natural_Science,Other,General_Text,Other_Text,Text,Anthromorphic/un-anthromorphic,Understanding,Thinking,Epistemic,Questionnaire,None,None,N/A,(1) Anthropomorphism is evocative without causing significant misconceptions
https://doi.org/10.1177/0963662519833903,Public Understanding of Science,Hot topics in science communication: Aggressive language decreases trustworthiness and credibility in scientific debates,2019,König & Jucks,Yes,221,Climate_Change,Climate,Environment,Video,Video_and_TV,Image,aggressive/non-aggressive,Perceived_trust,trusting,Attitudinal,Questionnaire,Trust,Love,Input,"(1) person introduced as a lobbyist decrease perceived trustworthiness
(2) Aggressive language is perceived as less trustworthy"
https://doi.org/10.1177/0963662519886474,Public Understanding of Science,Shifting public engagement: How media coverage of Climate Change conferences affects Climate Change audience segments,2019,Wonneberger et al.,Yes,876,Climate_Change,Climate,Environment,TV_news,Video_and_TV,Image,None,"Belief_change,Engagement,Intention_to_act","Belief,Doing,Doing","Epistemic,Behavioral,Behavioral",Questionnaire,None,None,N/A,(1) media effects may be limited in changing public opinion due to dis(confirmation) effects
https://doi.org/10.1177/0963662507087306,Public Understanding of Science,"Adolescent responses toward a new technology: first associations,information seeking and affective responses to ecogenomics",2009,Bos et al.,Yes,752,Economics,Humanities,Other,General_Text,Other_Text,Text,None,"Information_seeking,Perceived_credibility","Doing,Judgment","Behavioral,Epistemic","open/closed questions,trust questionnaire,information intention questionnaire",Trust,Love,Input,"(1) adolescent information seeking is mostly internet,books and science communication professionals were judged as most trustworthy information source"
https://doi.org/10.1177/0963662510387759,Public Understanding of Science,Conflicting stories about public scientific controversies: Effects of news convergence and divergence on scientists’ credibility,2012,Jensen & Hurley,Yes,242,General_Environment,Other_Environment,Environment,News_Article,Articles,Text,convergent/divergent,Perceived_certainty,Judgment,Epistemic,"perceived uncertainty,perceived trustworthiness",None,None,N/A,(1) (?)
https://doi.org/10.1177/0963662512454072,Public Understanding of Science,Persuasive images in popular science: Testing judgments of scientific reasoning and credibility,2012,Gruber & Dickerson,Yes,183,General_Science,Natural_Science,Other,General_Article,Articles,Text,image/no image,Perceived_credibility,Judgment,Epistemic,credibility questionnaire,None,None,N/A,(1) images alone may not have strong effect on persuasiveness
https://doi.org/10.1177/0963662519865982,Public Understanding of Science,Abstract or concrete? The effect of Climate Change images on people’s estimation of egocentric psychological distance,2019,Duan et al,Yes,402,Climate_Change,Climate,Environment,"News_Article,TV_news","Articles,Video_and_TV","Text,Image",abstract/concrete,Perceived_psychological_distance,Judgment,Epistemic,Questionnaire,None,None,N/A,(1) abstract images increase perception of Climate Change as distant issue
